series,episode,baker,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result
1,4,Ruth,NA,NA,NA,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",4,IN
1,5,Edd,NA,NA,NA,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",2,IN
1,5,Jasminder,NA,NA,NA,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",4,OUT
1,5,Miranda,NA,NA,NA,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",1,IN
1,5,Ruth,NA,NA,NA,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",3,IN
1,6,Edd,NA,NA,NA,Cinnamon and Banana Cake,NA,NA,WINNER
1,6,Miranda,NA,NA,NA,Lemon Cupcake,Eliminated after signature,NA,Runner-up
1,6,Ruth,NA,NA,NA,"Mint, Ginger and Blackberry Cake",NA,NA,Runner-up
2,1,Ben,NA,NA,NA,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,2,IN
2,1,Holly,NA,NA,NA,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,1,STAR BAKER
2,1,Ian,NA,NA,NA,Apple and Cinnamon Cupcakes,UNKNOWN,10,IN
2,1,Janet,NA,NA,NA,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,8,IN
2,1,Jason,NA,NA,NA,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN,6,IN
2,1,"""Jo""",NA,NA,NA,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake,NA,NA
2,1,Keith,NA,NA,NA,Earl Grey Cupcakes,Chocolate and Sour Cream Cake,12,OUT
2,1,Mary-Anne,NA,NA,NA,Banoffee Cupcakes,Chocolate and Raspberry Opera cake,4,IN
2,1,Robert,NA,NA,NA,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,3,IN
2,1,Simon,NA,NA,NA,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,9,IN
2,1,Urvashi,NA,NA,NA,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN,7,IN
2,1,Yasmin,NA,NA,NA,Cardamom and Pomegranate Cupcakes,UNKNOWN,5,IN
2,2,Ben,NA,NA,NA,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,1,IN
2,2,Holly,NA,NA,NA,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,4,IN
2,2,Ian,NA,NA,NA,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,2,IN
2,2,Janet,NA,NA,NA,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,8,IN
2,2,Jason,NA,NA,NA,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,3,STAR BAKER
2,2,"""Jo""",NA,NA,NA,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,NA,NA
2,2,Mary-Anne,NA,NA,NA,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,9,IN
2,2,Robert,NA,NA,NA,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",5,IN
2,2,Simon,NA,NA,NA,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",11,OUT
2,2,Urvashi,NA,NA,NA,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,7,IN
2,2,Yasmin,NA,NA,NA,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,6,IN
2,3,Ben,NA,NA,NA,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,3,IN
2,3,Holly,NA,NA,NA,Picnic Loaf,Stilton and Walnut Rolls,6,IN
2,3,Ian,NA,NA,NA,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,10,OUT
2,3,Janet,NA,NA,NA,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,8,IN
2,3,Jason,NA,NA,NA,Cheese and Onion Tear and Share Loaf,UNKNOWN,7,IN
2,3,"""Jo""",NA,NA,NA,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown,NA,NA
2,3,Mary-Anne,NA,NA,NA,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns,5,IN
2,3,Robert,NA,NA,NA,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,4,IN
2,3,Urvashi,NA,NA,NA,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,9,OUT
2,3,Yasmin,NA,NA,NA,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls",2,STAR BAKER
2,4,Ben,NA,NA,NA,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,5,OUT
2,4,Holly,NA,NA,NA,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",3,STAR BAKER
2,4,Janet,NA,NA,NA,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",4,IN
2,4,Jason,NA,NA,NA,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",1,STAR BAKER
2,4,"""Jo""",NA,NA,NA,Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,NA,NA
2,4,Mary-Anne,NA,NA,NA,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,2,IN
2,4,Robert,NA,NA,NA,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,7,IN
2,4,Yasmin,NA,NA,NA,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,6,IN
2,5,Holly,NA,NA,NA,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,4,IN
2,5,Janet,NA,NA,NA,Chicken and Chestnut Pie,Rhubarb Meringue Pie,1,STAR BAKER
2,5,Jason,NA,NA,NA,Brown Down Chicken Pie,Plum Meringue Pie,7,OUT
2,5,"""Jo""",NA,NA,NA,Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie,NA,NA
2,5,Mary-Anne,NA,NA,NA,Chicken and Bacon Pie,Midnight Meringue,2,IN
2,5,Robert,NA,NA,NA,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,3,OUT
2,5,Yasmin,NA,NA,NA,Family Fish Pie,Peach and Raspberry Meringue Pie,5,IN
2,6,Holly,NA,NA,NA,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,3,IN
2,6,Janet,NA,NA,NA,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,5,IN
2,6,"""Jo""",NA,NA,NA,Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche,NA,NA
2,6,Mary-Anne,NA,NA,NA,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel,4,IN
2,6,Yasmin,NA,NA,NA,Baked Amaretto Cheesecake,Rose Croquembouche,2,OUT
2,7,Holly,NA,NA,NA,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",1,IN
2,7,Janet,NA,NA,NA,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat,4,OUT
2,7,"""Jo""",NA,NA,NA,Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,NA,NA
2,7,Mary-Anne,NA,NA,NA,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,2,IN
2,8,Holly,NA,NA,NA,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,2,Runner-up
2,8,"""Jo""",NA,NA,NA,Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",NA,NA
2,8,Mary-Anne,NA,NA,NA,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,3,Runner-up
3,1,Brendan,NA,NA,NA,"Plum, Sour Cherry & Walnut",UNKNOWN,10,IN
3,1,Cathryn,NA,NA,NA,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake,5,IN
3,1,Danny,NA,NA,NA,"Plum, Ginger & Orange",UNKNOWN,7,IN
3,1,James,NA,NA,NA,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",2,IN
3,1,John,NA,NA,NA,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake,11,IN
3,1,Manisha,NA,NA,NA,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart,6,IN
3,1,Natasha,NA,NA,NA,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake,12,OUT
3,1,Peter,NA,NA,NA,"Pear, Muscat & Chocolate",Jubilee Cake,3,IN
3,1,Ryan,NA,NA,NA,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake,8,IN
3,1,Sarah-Jane,NA,NA,NA,"Pear, Chocolate and Hazelnut",Hidden Crown Cake,1,IN
3,1,Stuart,NA,NA,NA,Tomato and Ginger,Lemon and Pistachio Union Flag Cake,9,IN
3,1,Victoria,NA,NA,NA,Pear and Pecan,Blackbird Pie Cake,4,STAR BAKER
3,2,Brendan,NA,NA,NA,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",4,IN
3,2,Cathryn,NA,NA,NA,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",8,IN
3,2,Danny,NA,NA,NA,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN,3,IN
3,2,James,NA,NA,NA,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",2,IN
3,2,John,NA,NA,NA,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",1,STAR BAKER
3,2,Manisha,NA,NA,NA,Indian FlatbreadsItalian Flatbreads,UNKNOWN,6,IN
3,2,Peter,NA,NA,NA,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",11,OUT
3,2,Ryan,NA,NA,NA,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",5,IN
3,2,Sarah-Jane,NA,NA,NA,Toasted Coconut and Lime RotisOatcakes,UNKNOWN,10,IN
3,2,Stuart,NA,NA,NA,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",9,IN
3,2,Victoria,NA,NA,NA,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels",7,IN
3,3,Brendan,NA,NA,NA,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart",9,IN
3,3,Cathryn,NA,NA,NA,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",3,IN
3,3,Danny,NA,NA,NA,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart",2,IN
3,3,James,NA,NA,NA,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart",1,STAR BAKER
3,3,John,NA,NA,NA,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",6,IN
3,3,Manisha,NA,NA,NA,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart,10,IN
3,3,Ryan,NA,NA,NA,Spiced Pear Tarte Tatin,UNKNOWN,5,IN
3,3,Sarah-Jane,NA,NA,NA,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam,8,IN
3,3,Stuart,NA,NA,NA,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart,7,IN
3,3,Victoria,NA,NA,NA,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust,4,OUT
3,4,Brendan,NA,NA,NA,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise",1,STAR BAKER
3,4,Cathryn,NA,NA,NA,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",3,IN
3,4,Danny,NA,NA,NA,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",2,IN
3,4,James,NA,NA,NA,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",5,IN
3,4,John,NA,NA,NA,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova,6,IN
3,4,Manisha,NA,NA,NA,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert,9,IN
3,4,Ryan,NA,NA,NA,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue",7,IN
3,4,Sarah-Jane,NA,NA,NA,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue,4,IN
3,4,Stuart,NA,NA,NA,Black Forest Torte,Choca Blocka Mocha Meringue,8,OUT
3,5,Brendan,NA,NA,NA,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie,3,IN
3,5,Cathryn,NA,NA,NA,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie,1,IN
3,5,Danny,NA,NA,NA,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie,7,IN
3,5,James,NA,NA,NA,Four Pig Wellington,Sweet Potato Pie,6,IN
3,5,John,NA,NA,NA,Venison and Haggis Wellington,Star-Spangled Pecan Pie,2,IN
3,5,Manisha,NA,NA,NA,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie,5,OUT
3,5,Ryan,NA,NA,NA,Curry Spiced Seabass Wellington,Key Lime Pie,8,STAR BAKER
3,5,Sarah-Jane,NA,NA,NA,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie,4,IN
3,6,Brendan,NA,NA,NA,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",1,STAR BAKER
3,6,Cathryn,NA,NA,NA,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel,3,IN
3,6,Danny,NA,NA,NA,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel",2,IN
3,6,James,NA,NA,NA,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel",7,IN
3,6,John,NA,NA,NA,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury,5,IN
3,6,Ryan,NA,NA,NA,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",6,IN
3,6,Sarah-Jane,NA,NA,NA,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries,4,IN
3,7,Brendan,NA,NA,NA,Chelsea Bunskis,Black Forest Christmas Stollen,4,IN
3,7,Cathryn,NA,NA,NA,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche,5,IN
3,7,Danny,NA,NA,NA,Bakewell Chelsea Buns,European Christmas Wreath,2,STAR BAKER
3,7,James,NA,NA,NA,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba,1,IN
3,7,John,NA,NA,NA,Cherry and Almond Saffron Buns,Marzipan Stollen,3,IN
3,7,Ryan,NA,NA,NA,Lardy Cakes,Char Siu Bao,6,OUT
3,7,Sarah-Jane,NA,NA,NA,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait,7,OUT
3,8,Brendan,NA,NA,NA,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House,2,IN
3,8,Cathryn,NA,NA,NA,Cheese and Pickle Crackers,Gingerbread Buckingham Palace,5,OUT
3,8,Danny,NA,NA,NA,Spiced Almond Drinks Crackers,Gingerbread Big Ben,4,IN
3,8,James,NA,NA,NA,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn,1,STAR BAKER
3,8,John,NA,NA,NA,Asian Spice Crackers,Gingerbread Roman Coliseum,3,IN
3,9,Brendan,NA,NA,NA,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré,3,IN
3,9,Danny,NA,NA,NA,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré,4,OUT
3,9,James,NA,NA,NA,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",1,STAR BAKER
3,9,John,NA,NA,NA,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion,2,IN
3,10,Brendan,NA,NA,NA,Potato and Pepper Pithivier,Family Reunion Chiffon Cake,2,Runner-up
3,10,James,NA,NA,NA,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes,1,Runner-up
3,10,John,NA,NA,NA,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake,2,WINNER
4,1,Ali,NA,NA,NA,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",11,IN
4,1,Beca,NA,NA,NA,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence,8,IN
4,1,Christine,NA,NA,NA,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake,3,IN
4,1,Deborah,NA,NA,NA,Pineapple Cake,'Coffee Time',9,IN
4,1,Frances,NA,NA,NA,Giant Jam Sandwich,Secret Squirrel Cake,7,IN
4,1,Glenn,NA,NA,NA,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake,4,IN
4,1,Howard,NA,NA,NA,Passion Fruit and Coconut Cake,Black Forest Revisited,6,IN
4,1,Kimberley,NA,NA,NA,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake",10,IN
4,1,Lucy,NA,NA,NA,Timperley Early Cake,Thyme 'Wildwood' Cake,2,IN
4,1,Mark,NA,NA,NA,Lemon and Poppy Seed Cake,Chocolate Monster,5,IN
4,1,Robert,NA,NA,NA,Pecan and Apple Cake,Raspberry Chocolate Cake,1,STAR BAKER
4,1,Ruby,NA,NA,NA,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake,12,IN
4,1,Toby,NA,NA,NA,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake,13,OUT
4,2,Ali,NA,NA,NA,Italian Grissini,Sweet and Savoury Yin Yang Bread,9,IN
4,2,Beca,NA,NA,NA,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath,11,IN
4,2,Christine,NA,NA,NA,Mediterranean Breadsticks with Oregano,Double Plaited Loaf,4,IN
4,2,Deborah,NA,NA,NA,Fennel & Chilli Breadsticks,Walnut Fleur Loaf,8,IN
4,2,Frances,NA,NA,NA,Giant Matchsticks,Sailor's Knot,2,IN
4,2,Glenn,NA,NA,NA,Rosemary and Parmesan Grissini,Harvest Crown,7,IN
4,2,Howard,NA,NA,NA,Moroccan Breadsticks,Picasso Sun Bread,10,IN
4,2,Kimberley,NA,NA,NA,Nigella Seed and Parmesan Breadsticks,Peace Bread,1,IN
4,2,Lucy,NA,NA,NA,Grissini with Salt,Roast Tomato Bread,12,OUT
4,2,Mark,NA,NA,NA,Rosemary & Raisin Breadsticks,Sage & Garlic Plait,6,IN
4,2,Robert,NA,NA,NA,Twisty Rye Bread Sticks,Tribute Loaf,5,IN
4,2,Ruby,NA,NA,NA,Mexican Breadsticks,White Chocolate and Orange Peacock Bread,3,STAR BAKER
4,3,Ali,NA,NA,NA,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,5,IN
4,3,Beca,NA,NA,NA,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread,10,IN
4,3,Christine,NA,NA,NA,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels,4,STAR BAKER
4,3,Deborah,NA,NA,NA,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies,9,OUT
4,3,Frances,NA,NA,NA,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,8,IN
4,3,Glenn,NA,NA,NA,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers,1,IN
4,3,Howard,NA,NA,NA,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,7,IN
4,3,Kimberley,NA,NA,NA,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits,6,IN
4,3,Mark,NA,NA,NA,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites,11,OUT
4,3,Robert,NA,NA,NA,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons,2,IN
4,3,Ruby,NA,NA,NA,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,3,IN
4,4,Ali,NA,NA,NA,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",8,OUT
4,4,Beca,NA,NA,NA,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast,2,IN
